claimID,employer,employercity,employerstate,employerzip,gender,hispanic,asian,claim_amount,case_open,valid,invalid,verified_claim,case_close,first_response,formal_investigate,wage_order,total_rec,wage_rec,duration
LLVA56991,"GREATER SCAPE'S GROUND MANAGEMENT, LLC",HENRICO,VA,23075,male,TRUE,FALSE,340,2014-08-22,TRUE,FALSE,340,2018-03-21,FALSE,FALSE,TRUE,453.33,340,1307
LLVA57047,"TRANSFORMED LEADERSHIP, LLC.",ROANOKE,VA,24018,female,FALSE,FALSE,1275.5,2014-09-08,TRUE,FALSE,1272.99,2015-01-22,FALSE,FALSE,TRUE,1644.67,1233.5,136
LLVA57784,"GIGI'S NEXT STEP CHILD CARE CENTER, LLC",SOUTH CHESTERFIELD,VA,23803,female,FALSE,FALSE,0,2015-03-06,FALSE,FALSE,547.88,2017-03-17,FALSE,FALSE,FALSE,0,0,742
LLVA58364,MERRYMAN GROUNDS MAINT INC.,HAMPTON,VA,23661,male,FALSE,FALSE,50,2015-07-31,TRUE,FALSE,54,2016-05-23,FALSE,TRUE,FALSE,0,0,297
LLVA58376,"CONTINENTAL HOME HEALTH CARE, LLC,",RICHMOND,VA,23294,female,FALSE,FALSE,2229.5,2015-08-04,FALSE,FALSE,1286.13,2016-01-26,FALSE,FALSE,FALSE,0,0,175
LLVA58425,"THE BULLER GROUP, LLC",RESTON,VA,20191,male,FALSE,FALSE,3750,2015-08-14,FALSE,FALSE,954.38,2016-09-13,FALSE,FALSE,FALSE,0,0,396
LLVA58848,TIG DELIVERY,CHESAPEAKE,VA,23323,male,FALSE,FALSE,3500,2015-11-13,FALSE,FALSE,429.91,2016-01-14,FALSE,FALSE,FALSE,0,0,62
LLVA58899,SUPERIOR LANDSCAPING,MECHANICSVILLE,VA,23116,male,TRUE,FALSE,693,2015-12-02,TRUE,FALSE,416.25,2016-01-21,FALSE,TRUE,FALSE,0,0,50
LLVA58900,J TIGER MARTIAL ARTS,FREDERICKSBURG,VA,22407,female,FALSE,FALSE,12500,2015-12-02,FALSE,FALSE,3839.84,2016-04-26,FALSE,FALSE,FALSE,0,0,146
LLVA58906,"GRAPHIC MEMORY INTERNET SERVICES, INC",HAMPTON,VA,23669,female,FALSE,FALSE,445,2015-12-02,FALSE,FALSE,0,2016-01-29,FALSE,FALSE,FALSE,0,0,58
LLVA58924,"WILLIAM TRIBBLE DBA FRANKLIN STREET MARKET, LLC",RICHMOND,VA,23223,male,FALSE,FALSE,200,2015-12-07,FALSE,FALSE,77.84,2016-02-12,FALSE,FALSE,FALSE,0,0,67
LLVA58927,"CONTINENTAL HOME HEALTH CARE, LLC,",RICHMOND,VA,23294,NA,FALSE,FALSE,280,2015-12-07,FALSE,FALSE,0,2016-02-10,FALSE,FALSE,FALSE,0,0,65
LLVA58930,ADVANTAGE SALES & MARKETING LLC,MAGNOLIA,NJ,8049,female,FALSE,FALSE,4692.34,2015-12-08,TRUE,FALSE,1700,2016-01-19,FALSE,TRUE,FALSE,0,0,42
LLVA58935,CAPITAL AVIATION,MANASSAS,VA,20110,male,FALSE,FALSE,5550,2015-12-14,FALSE,FALSE,0,2016-01-11,FALSE,FALSE,FALSE,0,0,28
LLVA58952,MASSAGE ELEMENTS OF HOT STONES,FREDERICKSBURG,VA,22407,female,FALSE,FALSE,670.42,2015-12-11,FALSE,FALSE,724.06,2016-01-14,FALSE,FALSE,FALSE,0,0,34
LLVA58953,OXYGEN MARKETING & MANAGEMENT,SANDSTON,VA,23150,female,FALSE,FALSE,1010,2015-12-11,FALSE,FALSE,217.5,2016-02-26,FALSE,FALSE,FALSE,0,0,77
LLVA58954,SHIRLIE SLACK MITSUBISHI,FREDERICKSBURG,VA,22408,male,FALSE,FALSE,2320.32,2015-12-11,FALSE,FALSE,0,2016-01-12,FALSE,FALSE,FALSE,0,0,32
LLVA58994,"SOUTHERN COMMERICAL DEVELOPMENT, LLC",CHESAPEAKE,VA,23328,male,FALSE,FALSE,364,2015-12-22,FALSE,FALSE,247,2016-01-08,FALSE,FALSE,FALSE,0,0,17
LLVA58995,KMART,ABINGDON,VA,24210,female,FALSE,FALSE,367.69,2015-12-22,FALSE,FALSE,369.54,2016-01-08,FALSE,FALSE,FALSE,0,0,17
LLVA59000,IRWIN HOLDINGS LLC,YORKTOWN,VA,23692,female,FALSE,FALSE,1141,2015-12-22,FALSE,FALSE,0,2016-01-13,FALSE,FALSE,FALSE,0,0,22
