,claimID,employer,employercity,employerstate,employerzip,gender,hispanic,asian,claim_amount,case_open,valid,invalid,verified_claim,case_close,first_response,formal_investigate,wage_order,total_rec,wage_rec,duration,CLAIM NO,EMPLOYER NAME,EMPLOYER CITY,ST,ZIP,INDUSTRY,INDUSTRY (IF OTHER),SOURCE (URL),NOTES,City,Region
0,LLVA57047,"TRANSFORMED LEADERSHIP, LLC.",ROANOKE,VA,24018,female,FALSE,FALSE,1275.5,2014-09-08,TRUE,FALSE,1272.99,2015-01-22,FALSE,FALSE,TRUE,1644.67,1233.5,136,LLVA57047,"TRANSFORMED LEADERSHIP, LLC.",ROANOKE,VA,24018,,,,,ROANOKE,West Central
1,LLVA59239,PATRIOT DRUG AND DNA TESTING,ROANOKE,VA,24019,female,FALSE,FALSE,229.5,2016-03-03,FALSE,FALSE,0,2016-03-08,FALSE,FALSE,FALSE,0,0,5,LLVA59239,PATRIOT DRUG AND DNA TESTING,ROANOKE,VA,24019,,,,,ROANOKE,West Central
2,LLVA59312,AMERICAN ENTERPRISE SOLUTIONS,ROANOKE,VA,24018,male,FALSE,FALSE,332.55,2016-03-09,TRUE,FALSE,332.55,2016-03-30,FALSE,TRUE,FALSE,0,0,21,LLVA59312,AMERICAN ENTERPRISE SOLUTIONS,ROANOKE,VA,24018,,,,,ROANOKE,West Central
3,LLVA59373,FIRST BAPTIST CHURCH OF ROANOKE,ROANOKE,VA,24016,male,TRUE,FALSE,14000,2016-03-24,FALSE,FALSE,0,2016-05-05,FALSE,FALSE,FALSE,0,0,42,LLVA59373,FIRST BAPTIST CHURCH OF ROANOKE,ROANOKE,VA,24016,,,,,ROANOKE,West Central
4,LLVA59417,OLD DOMINION EYE FOUNDATION,ROANOKE,VA,24019,female,FALSE,FALSE,0,2016-04-01,FALSE,FALSE,0,2016-04-01,FALSE,FALSE,FALSE,0,0,0,LLVA59417,OLD DOMINION EYE FOUNDATION,ROANOKE,VA,24019,Healthcare/Medicine,,,,ROANOKE,West Central
5,LLVA59458,BEST VAPES VALLEY VIEW MALL,ROANOKE,VA,24017,male,FALSE,FALSE,200,2016-04-19,FALSE,FALSE,71.79,2016-05-19,FALSE,FALSE,FALSE,0,0,30,LLVA59458,BEST VAPES VALLEY VIEW MALL,ROANOKE,VA,24017,Retail,,,,ROANOKE,West Central
6,LLVA59479,KFC,ROANOKE,VA,24018,male,FALSE,FALSE,80,2016-04-19,TRUE,FALSE,80,2016-05-06,TRUE,FALSE,FALSE,0,0,17,LLVA59479,KFC,ROANOKE,VA,24018,Restaurant,,,,ROANOKE,West Central
7,LLVA59595,WILDFLOUR BAKERY AND RESTAURANT,ROANOKE,VA,24016,female,FALSE,FALSE,856.75,2016-05-17,FALSE,FALSE,0,2016-05-17,FALSE,FALSE,FALSE,0,0,0,LLVA59595,WILDFLOUR BAKERY AND RESTAURANT,ROANOKE,VA,24016,Restaurant,,,,ROANOKE,West Central
8,LLVA59679,"SOUTHWEST VIRGINIA JANITOR & SUPPLY, LTD",ROANOKE,VA,24017,male,FALSE,FALSE,1218,2016-06-01,FALSE,FALSE,0,2016-09-20,FALSE,FALSE,FALSE,0,0,111,LLVA59679,"SOUTHWEST VIRGINIA JANITOR & SUPPLY, LTD",ROANOKE,VA,24017,,,,,ROANOKE,West Central
9,LLVA59721,GOLD'S GYM ROANOKE 419-CAVE SPRING CORNERS,ROANOKE,VA,24018,male,FALSE,FALSE,381.4,2016-06-15,FALSE,FALSE,381.4,2016-06-27,FALSE,FALSE,FALSE,0,0,12,LLVA59721,GOLD'S GYM ROANOKE 419-CAVE SPRING CORNERS,ROANOKE,VA,24018,,,,,ROANOKE,West Central
