CLAIM NO,COMPLAINT,ROUTINE,EMPLOYER NAME,EMPLOYER CITY,ST,ZIP,gender,hispanic,asian,CLAIM AMT,CASE OPEN/RE-OPEN,CLAIM RECEIVED,Valid,Informal Resolution,Bankrupt,Invalid,Fringe Benefits,Independent Agent,Subcontractor,False Claim,Other,CLAIM INVAL OTHER DESCRIPTION,Claim Validity,Employer left State,Employer Cannot be Located,Complainant Cannot be Located,Complainant Dropped Claim,Paid Prior to Investigation,Business is Closed,Other_1,CLAIM UNDETERMINED OTHER DESCRIPTION,VERIFIED CLAIM AMT,CASE CLOSE/RECLOSE DATE,Employer Contested Valid Determination,1st Response Investigation,Formal Investigation,Request Settlement Conference,Request Informal Fact Finding,Request Formal Fact Finding,Wage Order,Informal Conference,Civil Action for Wages/Penalties,Other_2,OTHER DISPOSITION DESCRIPTION,CASE CLOSED for the REPRESENTATIVE,JUDGMENT,DISMISSED,NON-SUITED,JUDGMENT_1,DISMISSED_1,NON-SUITED_1,CIVCOURTDTE FOR WAGES/PENALTY,TOT AMT,WAGE AMT,INTEREST AMT,ATTY FEES,DATE FOR WAGES,WAGES APPEALED,WAGES APPEAL CIRCUIT COURT DATE,ASSESSED,AMT,ATTY FEES_1,ASSESSED DATE,TOTAL CMP AMT,CMP APPEALED,CMP APPEAL CIRCUIT COURT DATE,FINES & COURT COSTS,TOTAL WAGES,TOTAL INTEREST AMT,TOT WAGES & INTEREST,GARNISHED AMT,JUDGMENT WAGE AMT,JUDGEMENT PENALTY AMT,DOCKETED/SENT FOR COLLECTION DATE,ACTION TAKEN,COURT DATE,CONVICTED - DISPOSITION,DISMISSED - DISPOSITION,NOL Prossed,CONFINEMENT,SUSPENSION,BOTH - C&F,JUDGMENT_2,DISMISSED_2,NON-SUITED_2,JUDGMENT_3,DISMISSED_3,NON-SUITED_3
LLVA56991,X,NA,"GREATER SCAPE'S GROUND MANAGEMENT, LLC",HENRICO,VA,23075,male,TRUE,FALSE,$340.00,22-Aug-14,19-Aug-14,X,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$340.00,21-Mar-18,NA,NA,NA,NA,NA,NA,X,NA,NA,NA,NA,20-Oct-14,NA,NA,NA,NA,NA,NA,NA,$453.33,$340.00,$0.00,$113.33,NA,NA,NA,NA,$250.00,$83.33,NA,$333.33,NA,NA,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
LLVA57047,X,NA,"TRANSFORMED LEADERSHIP, LLC.",ROANOKE,VA,24018,female,FALSE,FALSE,"$1,275.50",8-Sep-14,4-Sep-14,X,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"$1,272.99",22-Jan-15,NA,NA,NA,NA,NA,NA,X,NA,NA,NA,NA,17-Oct-14,NA,NA,NA,NA,NA,NA,NA,"$1,644.67","$1,233.50",$0.00,$411.17,28-Jan-15,NA,NA,X,$700.00,$233.33,28-Jan-15,$933.33,NA,NA,$0.00,"$1,272.99",$0.00,"$1,272.99",$0.00,$0.00,$0.00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
LLVA57784,X,NA,"GIGI'S NEXT STEP CHILD CARE CENTER, LLC",SOUTH CHESTERFIELD,VA,23803,female,FALSE,FALSE,$0.00,6-Mar-15,5-Mar-15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$547.88,17-Mar-17,NA,NA,X,NA,NA,NA,NA,NA,NA,NA,NA,14-Apr-15,NA,NA,NA,NA,NA,NA,NA,$0.00,$0.00,$0.00,$0.00,NA,NA,NA,NA,$0.00,$0.00,NA,$0.00,NA,NA,$0.00,$547.88,$0.00,$547.88,$0.00,$0.00,$0.00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
LLVA58364,X,NA,MERRYMAN GROUNDS MAINT INC.,HAMPTON,VA,23661,male,FALSE,FALSE,$50.00,31-Jul-15,25-Jul-15,X,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$54.00,23-May-16,NA,NA,X,NA,NA,NA,NA,NA,NA,NA,NA,8-Oct-15,NA,NA,NA,NA,NA,NA,NA,$0.00,$0.00,$0.00,$0.00,NA,NA,NA,NA,$0.00,$0.00,NA,$0.00,NA,NA,$0.00,$50.00,$4.00,$54.00,$0.00,$0.00,$0.00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
LLVA58376,X,NA,"CONTINENTAL HOME HEALTH CARE, LLC,",RICHMOND,VA,23294,female,FALSE,FALSE,"$2,229.50",4-Aug-15,28-Jul-15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"$1,286.13",26-Jan-16,NA,NA,X,NA,NA,NA,NA,NA,NA,NA,NA,28-Oct-15,NA,NA,NA,NA,NA,NA,NA,$0.00,$0.00,$0.00,$0.00,NA,NA,NA,NA,$0.00,$0.00,NA,$0.00,NA,NA,$0.00,"$1,235.00",$51.13,"$1,286.13",$0.00,$0.00,$0.00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
LLVA58425,X,NA,"THE BULLER GROUP, LLC",RESTON,VA,20191,male,FALSE,FALSE,"$3,750.00",14-Aug-15,14-Aug-15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$954.38,13-Sep-16,NA,NA,X,NA,NA,NA,NA,NA,NA,NA,NA,2-Sep-15,NA,NA,NA,NA,NA,NA,NA,$0.00,$0.00,$0.00,$0.00,NA,NA,NA,NA,$0.00,$0.00,NA,$0.00,NA,NA,$0.00,$942.20,$12.18,$954.38,$0.00,$0.00,$0.00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
LLVA58848,X,NA,TIG DELIVERY,CHESAPEAKE,VA,23323,male,FALSE,FALSE,"$3,500.00",13-Nov-15,16-Oct-15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$429.91,14-Jan-16,NA,NA,X,NA,NA,NA,NA,NA,NA,NA,NA,14-Jan-16,NA,NA,NA,NA,NA,NA,NA,$0.00,$0.00,$0.00,$0.00,NA,NA,NA,NA,$0.00,$0.00,NA,$0.00,NA,NA,$0.00,$429.91,$0.00,$429.91,$0.00,$0.00,$0.00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
LLVA58899,X,NA,SUPERIOR LANDSCAPING,MECHANICSVILLE,VA,23116,male,TRUE,FALSE,$693.00,2-Dec-15,20-Nov-15,X,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$416.25,21-Jan-16,NA,NA,X,NA,NA,NA,NA,NA,NA,NA,NA,21-Jan-16,NA,NA,NA,NA,NA,NA,NA,$0.00,$0.00,$0.00,$0.00,NA,NA,NA,NA,$0.00,$0.00,NA,$0.00,NA,NA,$0.00,$416.25,$0.00,$416.25,$0.00,$0.00,$0.00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
LLVA58900,X,NA,J TIGER MARTIAL ARTS,FREDERICKSBURG,VA,22407,female,FALSE,FALSE,"$12,500.00",2-Dec-15,24-Nov-15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"$3,839.84",26-Apr-16,NA,NA,X,NA,NA,NA,NA,NA,NA,NA,NA,7-Mar-16,NA,NA,NA,NA,NA,NA,NA,$0.00,$0.00,$0.00,$0.00,NA,NA,NA,NA,$0.00,$0.00,NA,$0.00,NA,NA,$0.00,"$3,528.20",$311.64,"$3,839.84",$0.00,$0.00,$0.00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
LLVA58906,X,NA,"GRAPHIC MEMORY INTERNET SERVICES, INC",HAMPTON,VA,23669,female,FALSE,FALSE,$445.00,2-Dec-15,24-Nov-15,NA,NA,NA,X,NA,X,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$0.00,29-Jan-16,NA,NA,X,NA,NA,NA,NA,NA,NA,NA,NA,29-Jan-16,NA,NA,NA,NA,NA,NA,NA,$0.00,$0.00,$0.00,$0.00,NA,NA,NA,NA,$0.00,$0.00,NA,$0.00,NA,NA,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
LLVA58924,X,NA,"WILLIAM TRIBBLE DBA FRANKLIN STREET MARKET, LLC",RICHMOND,VA,23223,male,FALSE,FALSE,$200.00,7-Dec-15,1-Dec-15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$77.84,12-Feb-16,NA,NA,X,NA,NA,NA,NA,NA,NA,NA,NA,12-Feb-16,NA,NA,NA,NA,NA,NA,NA,$0.00,$0.00,$0.00,$0.00,NA,NA,NA,NA,$0.00,$0.00,NA,$0.00,NA,NA,$0.00,$76.96,$0.88,$77.84,$0.00,$0.00,$0.00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
LLVA58927,X,NA,"CONTINENTAL HOME HEALTH CARE, LLC,",RICHMOND,VA,23294,NA,FALSE,FALSE,$280.00,7-Dec-15,30-Nov-15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,X,NA,NA,NA,NA,NA,NA,X,INSUFFICIENT DOCUMENTATION,$0.00,10-Feb-16,NA,NA,X,NA,NA,NA,NA,NA,NA,NA,NA,10-Feb-16,NA,NA,NA,NA,NA,NA,NA,$0.00,$0.00,$0.00,$0.00,NA,NA,NA,NA,$0.00,$0.00,NA,$0.00,NA,NA,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
LLVA58930,X,NA,ADVANTAGE SALES & MARKETING LLC,MAGNOLIA,NJ,8049,female,FALSE,FALSE,"$4,692.34",8-Dec-15,3-Dec-15,X,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"$1,700.00",19-Jan-16,NA,NA,X,NA,NA,NA,NA,NA,NA,NA,NA,19-Jan-16,NA,NA,NA,NA,NA,NA,NA,$0.00,$0.00,$0.00,$0.00,NA,NA,NA,NA,$0.00,$0.00,NA,$0.00,NA,NA,$0.00,"$1,700.00",$0.00,"$1,700.00",$0.00,$0.00,$0.00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
LLVA58935,X,NA,CAPITAL AVIATION,MANASSAS,VA,20110,male,FALSE,FALSE,"$5,550.00",14-Dec-15,7-Dec-15,NA,NA,NA,X,NA,NA,NA,NA,X,CANNOT ESTABLISH EMPLOYEE/EMPLOYER RELATIONSHIP,NA,NA,NA,NA,NA,NA,NA,NA,NA,$0.00,11-Jan-16,NA,NA,X,NA,NA,NA,NA,NA,NA,NA,NA,11-Jan-16,NA,NA,NA,NA,NA,NA,NA,$0.00,$0.00,$0.00,$0.00,NA,NA,NA,NA,$0.00,$0.00,NA,$0.00,NA,NA,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
LLVA58952,X,NA,MASSAGE ELEMENTS OF HOT STONES,FREDERICKSBURG,VA,22407,female,FALSE,FALSE,$670.42,11-Dec-15,2-Dec-15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$724.06,14-Jan-16,NA,NA,X,NA,NA,NA,NA,NA,NA,NA,NA,14-Jan-16,NA,NA,NA,NA,NA,NA,NA,$0.00,$0.00,$0.00,$0.00,NA,NA,NA,NA,$0.00,$0.00,NA,$0.00,NA,NA,$0.00,$670.42,$53.64,$724.06,$0.00,$0.00,$0.00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
LLVA58953,X,NA,OXYGEN MARKETING & MANAGEMENT,SANDSTON,VA,23150,female,FALSE,FALSE,"$1,010.00",11-Dec-15,3-Dec-15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$217.50,26-Feb-16,NA,NA,X,NA,NA,NA,NA,NA,NA,NA,NA,26-Feb-16,NA,NA,NA,NA,NA,NA,NA,$0.00,$0.00,$0.00,$0.00,NA,NA,NA,NA,$0.00,$0.00,NA,$0.00,NA,NA,$0.00,$217.50,$0.00,$217.50,$0.00,$0.00,$0.00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
LLVA58954,X,NA,SHIRLIE SLACK MITSUBISHI,FREDERICKSBURG,VA,22408,male,FALSE,FALSE,"$2,320.32",11-Dec-15,7-Dec-15,NA,NA,NA,X,NA,NA,NA,X,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$0.00,12-Jan-16,NA,X,NA,NA,NA,NA,NA,NA,NA,NA,NA,12-Jan-16,NA,NA,NA,NA,NA,NA,NA,$0.00,$0.00,$0.00,$0.00,NA,NA,NA,NA,$0.00,$0.00,NA,$0.00,NA,NA,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
LLVA58994,X,NA,"SOUTHERN COMMERICAL DEVELOPMENT, LLC",CHESAPEAKE,VA,23328,male,FALSE,FALSE,$364.00,22-Dec-15,22-Dec-15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$247.00,8-Jan-16,NA,X,NA,NA,NA,NA,NA,NA,NA,NA,NA,8-Jan-16,NA,NA,NA,NA,NA,NA,NA,$0.00,$0.00,$0.00,$0.00,NA,NA,NA,NA,$0.00,$0.00,NA,$0.00,NA,NA,$0.00,$247.00,$0.00,$247.00,$0.00,$0.00,$0.00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
LLVA58995,X,NA,KMART,ABINGDON,VA,24210,female,FALSE,FALSE,$367.69,22-Dec-15,22-Dec-15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$369.54,8-Jan-16,NA,X,NA,NA,NA,NA,NA,NA,NA,NA,NA,8-Jan-16,NA,NA,NA,NA,NA,NA,NA,$0.00,$0.00,$0.00,$0.00,NA,NA,NA,NA,$0.00,$0.00,NA,$0.00,NA,NA,$0.00,$369.54,$0.00,$369.54,$0.00,$0.00,$0.00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
LLVA59000,X,NA,IRWIN HOLDINGS LLC,YORKTOWN,VA,23692,female,FALSE,FALSE,"$1,141.00",22-Dec-15,18-Dec-15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,X,NA,NA,NA,NA,NA,NA,X,CONFLICTING DOCUMENTATION,$0.00,13-Jan-16,NA,NA,X,NA,NA,NA,NA,NA,NA,NA,NA,13-Jan-16,NA,NA,NA,NA,NA,NA,NA,$0.00,$0.00,$0.00,$0.00,NA,NA,NA,NA,$0.00,$0.00,NA,$0.00,NA,NA,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
LLVA59004,X,NA,PRISTINE SERVICES,GLEN ALLEN,VA,23059,female,FALSE,FALSE,$19.00,23-Dec-15,17-Dec-15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,X,NA,NA,X,NA,NA,NA,NA,NA,$0.00,12-Jan-16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$0.00,$0.00,$0.00,$0.00,NA,NA,NA,NA,$0.00,$0.00,NA,$0.00,NA,NA,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
LLVA59005,X,NA,"EAST LAKE - SUNSET CAY, LLC",MONETTA,VA,24104,male,FALSE,FALSE,$625.24,23-Dec-15,15-Dec-15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$625.24,17-Feb-16,NA,NA,X,NA,NA,NA,NA,NA,NA,NA,NA,17-Feb-16,NA,NA,NA,NA,NA,NA,NA,$0.00,$0.00,$0.00,$0.00,NA,NA,NA,NA,$0.00,$0.00,NA,$0.00,NA,NA,$0.00,$625.24,$0.00,$625.24,$0.00,$0.00,$0.00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
LLVA59017,X,NA,SOWING SEEDS DAYCARE & PRESCHOOL,VIRGINIA BEACH,VA,23462,NA,FALSE,FALSE,"$1,185.69",30-Dec-15,30-Dec-15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$585.77,8-Jan-16,NA,X,NA,NA,NA,NA,NA,NA,NA,NA,NA,8-Jan-16,NA,NA,NA,NA,NA,NA,NA,$0.00,$0.00,$0.00,$0.00,NA,NA,NA,NA,$0.00,$0.00,NA,$0.00,NA,NA,$0.00,$585.77,$0.00,$585.77,$0.00,$0.00,$0.00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
