newcol,Variable,Description,Values,Notes
claim_no,CLAIM NO ,A unique ID for each official wage-theft complaint issued to the DOLI ,,
complaint,COMPLAINT ,Whether or not this row represents an official complaint ,X if yes ,"All rows are complaints, so safe to ignore this variable"
routine,ROUTINE ,,,"Missing everywhere, safe to ignore"
employer_name,EMPLOYER NAME ,The name of the employer against whom the wage-theft complaint is made ,Character ,
employer_city,EMPLOYER CITY ,The employer's city ,Character ,
st,ST ,The employer's state ,Character ,
zip,ZIP ,The employer's ZIP code ,Character ,
gender,gender ,The predicted gender of the person issuing the complaint based on first name ,"Factor: (male, female) ","Gender is not included in the original data, but the complainants' names are. We used the gender_df() function in the gender package for R to predict gender from the complainants' first names. This variable is missing if the first name is unusual and gender_df() is unable to generate a prediction"
hispanic,hispanic ,Whether the complainant is predicted to be Hispanic based on the last name ,"Logical: (TRUE, FALSE) ",Race/Ethnicity is not included in the original data. We predicted the race/ethnicity of each complainant from the person's last name using the predict_race() function in the wru package in R.
asian,asian ,Whether the complainant is predicted to be Asian based on the last name ,"Logical: (TRUE, FALSE) ",See above
claim_amt,CLAIM AMT ,The amount of money claimed to have been illegally withheld ,Character (but easily converted to numeric) ,
case_open_re_open,CASE OPEN/RE-OPEN ,The date the case was opened ,Character ,
claim_received,CLAIM RECEIVED ,The date the claim was received by DOLI ,Character ,
valid,Valid ,Whether the claim was deemed by DOLI to be valid ,"Character: X if valid, missing if not ",
informal_resolution,Informal Resolution ,Whether the claim was resulted in an informal resolution between the employer and complainant ,"Character: X if true, missing if false ",
bankrupt,Bankrupt ,Whether the claim is being made against a bankrupt employer ,"Character: X if true, missing if false ",This is one of the reasons DOLI as outside their jurisdiction (https://www.doli.virginia.gov/labor-law/payment-of-wage-english/)
invalid,Invalid ,Whether DOLI disqualified the claim for one of the following reasons: ,"Character: X if true, missing if false ",
fringe_benefits,Fringe Benefits ,Whether DOLI disqualified the claim because it deals with contractual payments beyond a base salary ,"Character: X if true, missing if false ",This is one of the reasons DOLI as outside their jurisdiction (https://www.doli.virginia.gov/labor-law/payment-of-wage-english/)
independent_agent,Independent Agent ,Whether DOLI disqualified the claim because it involves a contract worker instead of a direct employee ,"Character: X if true, missing if false ",This is one of the reasons DOLI as outside their jurisdiction (https://www.doli.virginia.gov/labor-law/payment-of-wage-english/)
subcontractor,Subcontractor ,Whether DOLI disqualified the claim because it involves a subcontract worker instead of a direct employee ,"Character: X if true, missing if false ",This is one of the reasons DOLI as outside their jurisdiction (https://www.doli.virginia.gov/labor-law/payment-of-wage-english/)
false_claim,False Claim ,Whether DOLI determined that the claim is false ,"Character: X if true, missing if false ",
other,Other ,Whether DOLI determined that the claim is invalid for another reason ,"Character: X if true, missing if false ",This is one of the reasons DOLI as outside their jurisdiction (https://www.doli.virginia.gov/labor-law/payment-of-wage-english/)
claim_inval_other_description,CLAIM INVAL OTHER DESCRIPTION ,"The stated reason DOLI found a claim invalid if ""other"" ",Character ,
claim_validity,Claim Validity ,Whether an undetermined claim is valid ,"Character: X if true, missing if false ","A claim is ""undetermined"" if DOLI finds that it cannot enforce a descision even if a claim is valid."
employer_left_state,Employer left State ,Whether a claim is undetermined because the employer left the state ,"Character: X if true, missing if false ",See above
employer_cannot_be_located,Employer Cannot be Located ,Whether a claim is undetermined because the employer cannot be located ,"Character: X if true, missing if false ",See above
complainant_cannot_be_located,Complainant Cannot be Located ,Whether a claim is undetermined because the complainant cannot be located ,"Character: X if true, missing if false ",See above
complainant_dropped_claim,Complainant Dropped Claim ,Whether a claim is undetermined because the complainant dropped the claim ,"Character: X if true, missing if false ",See above
paid_prior_to_investigation,Paid Prior to Investigation ,Whether a claim is undetermined because the employer paid the lost wages prior to the DOLI investigation ,"Character: X if true, missing if false ",See above
